username,name,followers,followers_num,location,price,rating,package_offer,instagram_url,collabstr_url,profile_image
jessmakesmagic,Jessica Liebman,37.0k,37000,"Austin, TX, US",$150,5.0,1 Instagram Story,https://www.instagram.com/jessmakesmagic,https://collabstr.com/jessmakesmagic?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/22637/1627628163335533.webp
theyahwehfamily,The Yahweh Family,25.3k,25300,"Orlando, FL, US",$250,,1 Instagram Story,https://www.instagram.com/theyahwehfamily,https://collabstr.com/theyahwehfamily?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1418898/1783277646914039.webp
nastarsha,Nastarsha Brown,25.1k,25100,"Temecula, CA, US",$50,,1 Instagram Story,https://www.instagram.com/nastarsha,https://collabstr.com/nastarsha?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/830987/17703451371069243.webp
welcometothewoerners,Gabrielle Woerner,29.5k,29500,"Orange Beach, AL, US",$50,5.0,1 Instagram Story,https://www.instagram.com/welcometothewoerners,https://collabstr.com/welcometothewoerners?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/310104/1779217033925095.webp
mckennafusselman,Mckenna Fusselman,25.4k,25400,"Meridian, ID, US",$50,,1 Instagram Photo Feed Post,https://www.instagram.com/mckennafusselman,https://collabstr.com/mckennafusselman?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1235195/17787806039681106.webp
rosaliah,Rosaliah,18.5k,18500,"Salt Lake City, UT, US",$100,,1 Instagram Reel (30 Seconds),https://www.instagram.com/rosaliah,https://collabstr.com/rosaliah?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/383045/17490629096058385.webp
thepatelslifeblog,Bhavisha Patel,20.8k,20800,"Edison, NJ, US",$150,,,https://www.instagram.com/thepatelslifeblog,https://collabstr.com/thepatelslifeblog?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/801801/17697486382091856.webp
lanafloridiana,Lana Gulyayev,14.0k,14000,"Cape Coral, FL, US",$100,4.8,,https://www.instagram.com/lanafloridiana,https://collabstr.com/lanafloridiana?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/150408/17128884438218791.webp
awroyal,Angelina Royal,10.5k,10500,"Lafayette, LA, US",$60,,1 Instagram Story,https://www.instagram.com/awroyal,https://collabstr.com/awroyal?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/329819/1744302498633401.webp
tiffanysmolinski,Tiffany Smolinski,11.5k,11500,"Deerfield Beach, FL, US",$50,5.0,1 Instagram Story,https://www.instagram.com/tiffanysmolinski,https://collabstr.com/tiffanysmolinski?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/497350/1757121918160931.webp
dudaguardado,Eduarda Lacerda,10.6k,10600,"Simi Valley, CA, US",$100,,1 Instagram Story,https://www.instagram.com/dudaguardado,https://collabstr.com/dudaguardado?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1385842/1782347914907306.webp
tuthaiha,Emma Duong,36.1k,36100,"Los Angeles, CA, US",$150,,,https://www.instagram.com/tuthaiha,https://collabstr.com/tuthaiha?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/417442/1751912501359415.webp
haileyabuchanan,Hailey Buchanan,13.5k,13500,"Highland, UT, US",$100,,1 Instagram Story,https://www.instagram.com/haileyabuchanan,https://collabstr.com/haileyabuchanan?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1372244/1782010317045813.webp
camilarengifocantillo,Camila Rengifo,11.3k,11300,"Cape Coral, FL, US",$50,,,https://www.instagram.com/camilarengifocantillo,https://collabstr.com/camilarengifocantillo?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/908523/17719813577777152.webp
kateelynnn,Katelynn Davidson,35.7k,35700,"Glen Easton, WV, US",$250,,,https://www.instagram.com/kateelynnn,https://collabstr.com/kateelynnn?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/65085/1673961016630728.webp
veronicaarc,Veronica Reyes,10.7k,10700,"Orlando, FL, US",$50,,1 Instagram Story,https://www.instagram.com/veronicaarc,https://collabstr.com/veronicaarc?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/278726/17687246886786337.webp
alinecgeraldi,Aline Cristine Geraldi,43.7k,43700,"Boca Raton, FL, US",$75,,1 Instagram Story,https://www.instagram.com/alinecgeraldi,https://collabstr.com/alinecgeraldi?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1059220/17761296700961134.webp
verahorobei,Vera Horobei,10.2k,10200,"Spartanburg, SC, US",$250,,1 Instagram Photo Feed Post,https://www.instagram.com/verahorobei,https://collabstr.com/verahorobei?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1612434/17876224524262798.webp
brittneykelly,Brittney Kelly,18.7k,18700,"Neptune Beach, FL, US",$75,4.7,1 Instagram Story,https://www.instagram.com/brittneykelly,https://collabstr.com/brittneykelly?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/222419/17285220990885236.webp
